Cohort_id	Trait_onto_ID	Cancer_type	Cancer_subtype	Cancer_DOID	Case_name	Case_age_group	Case_sex	Case_size	Control_name	Control_age_group	Control_sex	Control_size	Condition	Conclusion	Platform	Tissue	Type	pubmed_id
METAC_722	113	lung cancer	Adenocarcinoma, Squamous cell cancer, Undifferentiated non small cell lung cancer, Small cell lung cancer	1324	lung caner	65 ± 12	F&M	24	Non-cancerous control	55 ± 15	F&M	30	Altered metabolites in bronchoalveolar lavage fluid (BALF) from lung cancer and Non-cancerous control	Sixteen metabolites were altered in BALF of LC patients compared to NCC.	GC-MS	Bronchoalveolar lavage fluid	case vs.control group	30292984
METAC_723	2	lung cancer	adenocarcinoma	1324	adenocarcinoma	62.11 ± 9.73	F&M	33	adjacent normal lung tissue	62.11 ± 9.73	F&M	33	Significant different metabolites between adenocarcinoma and adjacent normal lung tissue	nan	UPLC/MS/MS;GC/MS	Lung tissue	case vs.control group	30099851
METAC_724	121	lung cancer	squamouscell lung carcinoma	1324	"squamous
cell lung carcinoma"	68.71 ± 7.46	F&M	35	adjacent normal lung tissue	68.71 ± 7.46	F&M	35	Significant different metabolites between squamous cell lung carcinom and adjacent normal lung tissue	nan	UPLC/MS/MS;GC/MS	Lung tissue	case vs.control group	30099851
METAC_725	162	lung cancer	SCLC, NSCLC	1324	partial response		F&M	26	progressive disease		F&M	27	potential biomarkers for predicting platinum chemotherapy efficacy	Interestingly, 2-hydroxyglutaric acid (2-HG) as an oncometabolite accumulated in lung cancer was remarkably elevated in the partial response (PR) patients. Collectively, our findings implicated that metabolomics can serve as a potential tool to select lung cancer patients that are more likely to benefit from the platinum-based treatment.	LC-MS	Plasma	case vs.control group	29544107
METAC_726	145	lung cancer	non-small cell lung cancer (NSCLC)	1324	non-small cell lung cancer (NSCLC)		F&M	38	healthy controls		F&M	43	Potential serum biomarkers identified by 1H NMR and their variations among non-small cell lung cancer (NSCLC) patients, microwave ablation (MWA) treated patients and healthy controls	Compared with healthy controls, NSCLC patients showed significantly elevated serum levels of lactate, alanine, glutamate, proline, glycoprotein, phenylalanine, tyrosine and tryptophan, and markedly decreased serum levels of glucose, taurine, glutamine, glycine, phosphocreatine and threonine (p < 0.05).	¹H NMR	Serum	case vs.control group	29530051
METAC_727	135	lung cancer	non-small cell lung cancer (NSCLC)	1324	MWA(microwave ablation) treated patients		F&M	39	non-small cell lung cancer (NSCLC)		F&M	38	Potential serum biomarkers identified by 1H NMR and their variations among MWA(microwave ablation) treated patients and NSCLC patients	MWA treatment reversed the metabolic profiles of NSCLC patients towards the control group.	¹H NMR	Serum	case vs.control group	29530051
METAC_728	135	lung cancer	non-small cell lung cancer (NSCLC)	1324	MWA(microwave ablation) treated patients		F&M	39	healthy controls		F&M	43	Potential serum biomarkers identified by 1H NMR and their variations among MWA(microwave ablation) treated patients and healthy controls	MWA treatment reversed the metabolic profiles of NSCLC patients towards the control group.	¹H NMR	Serum	case vs.control group	29530051
METAC_729	46	colorectal cancer	nan	9256	colorectal cancer (CRC) patients	31-80	F&M	25	healthy controls	18-22	F&M	10	Differential metabolites between controls and colorectal cancer (CRC) patients.	8 lipid species, including PG (34:0), SM (42:2), Cer (44:5), LPC (18:3), LPC (18:2), PE (O-36:3), PE (O-38:3) and SM (38:8), having the AUC more than 0.900	LC-QTOF-MS	Plasma	case vs.control group	29028617
METAC_730	46	colorectal cancer	nan	9256	tumour mucosal tissue	76 (55-85)	F&M	18	normal mucosal tissue	76 (55-85)	F&M	18	Differential metabolites between tumour or normal mucosal tissue.	Colonic mucosal metabolites are highly diagnostic of cancer .	¹H NMR	Mucosa	case vs.control group	28827587
METAC_731	177	colorectal cancer	Qi deficiency colorectal cancer	9256	Qi deficiency (QD)		F&M	30	Nondeficiency (ND)		F&M	30	Differential metabolites in the plasmas of colorectal cancer (colorectal cancer (CRC)) patients with Qi deficiency (QD) compared with those with Nondeficiency (ND).	twenty-five metabolites displayed differences between QD and ND	GC-MS	Serum	case vs.control group	28811829
METAC_732	218	colorectal cancer	Yin deficiency colorectal cancer	9256	Yin deficiency (YD)		F&M	30	Nondeficiency (ND)		F&M	30	Differential metabolites in the plasmas of colorectal cancer (CRC) patients with Yin deficiency (YD) compared with those with Nondeficiency (ND).	twenty-eight metabolites displayed differences between YD and ND	GC-MS	Serum	case vs.control group	28811829
METAC_733	177	colorectal cancer	Qi deficiency colorectal cancer	9256	Qi deficiency (QD)		F&M	30	Yin deficiency (YD)		F&M	30	Differential metabolites in the plasmas of colorectal cancer (CRC) patients with Qi deficiency (QD) compared with those with Yin deficiency (YD).	26 discriminating metabolites were identified	GC-MS	Serum	case vs.control group	28811829
METAC_734	46	colorectal cancer	nan	9256	colorectal cancer (CRC) patients	53.97	F&M	30	controls	55.23	F&M	30	Differential metabolites between controls and colorectal cancer (CRC) patients.	Twenty metabolites showed increasing levels in CRC and PLP patients comparing with controls and 30 metabolites with decreasing levels.	LC-MS/MS	Serum	case vs.control group	28640361
METAC_735	46	colorectal cancer	nan	9256	colorectal cancer (CRC) patients	53.97	F&M	30	colorectal adenoma polyps patients	51.87	F&M	30	Differential metabolites between colorectal adenoma polyps and colorectal cancer (CRC) patients.	Twenty metabolites showed increasing levels in CRC and PLP patients comparing with controls and 30 metabolites with decreasing levels.	LC-MS/MS	Serum	case vs.control group	28640361
METAC_736	46	colorectal cancer	nan	9256	colorectal cancer (CRC) patients	60.1 ± 9.8	F&M	25	controls	62.3 ± 14.0	F&M	10	Differential metabolites between controls and colorectal cancer (CRC) patients.	abnormal change of 2, 3-dinor-8-iso-PGF2α, 19-HETE and 12-keto-LTB4 from arachidonic acid were observed in colorectal cancer patients. Meanwhile, 9-HODE and 13-HODE from linoleic acid were significant lower	UPLC-MS/MS	Serum	case vs.control group	28515019
METAC_737	133	colorectal cancer	metastatic colorectal cancer	9256	metastatic colorectal cancer patients	51	F&M	52	controls	56.8	F&M	41	Differential metabolites between controls and metastatic colorectal cancer patients.	30 and 39 distinguishing metabolites were identified for the non-metastatic and metastatic CRC cases	¹H NMR	Colorectal tissue	case vs.control group	27748865
METAC_738	141	colorectal cancer	non‑metastatic colorectal cancer	9256	non‑metastatic colorectal cancer patients	57.8	F&M	73	controls	56.8	F&M	41	Differential metabolites between controls and non‑metastatic colorectal cancer patients.	30 and 39 distinguishing metabolites were identified for the non-metastatic and metastatic CRC cases	¹H NMR	Colorectal tissue	case vs.control group	27748865
METAC_739	55	colorectal cancer	metastatic colorectal cancer; non‑metastatic colorectal cancer	9256	metastatic colorectal cancer patients	51	F&M	52	non‑metastatic colorectal cancer patients	57.8	F&M	73	Differential metabolites between non‑metastatic colorectal cancer patients and metastatic colorectal cancer patients.	10 tissue metabolites (VIP >1 and p<0.05) were identified as potential biomarkers for use in discriminating between non-metastatic and metastatic CRC cases	¹H NMR	Colorectal tissue	case vs.control group	27748865
METAC_740	146	lung cancer	Non-Small Cell Lung Cancer	1324	progressive disease (PD) group		F&M	53	disease control (DC) group (including the PR and SD groups) 		F&M	198	Metabolites identified in the discovery disease control (DC) group (including the PR and SD groups) and the progressive disease (PD) group	nan	LC/MS-MS	Serum	case vs.control group	29437793
METAC_741	148	lung cancer	Non-Small Cell Lung Cancer	1324	NSCLC patients with poor survival		F&M	55	NSCLC patients with good survival		F&M	55	significant metabolites showing differential levels between non-small cell lung cancer (NSCLC) patients with poor and good survival in discovery phase	We found levels of 4 metabolites, caffeine, paraxanthine, stachydrine, and methyl glucopyranoside (alpha + beta), differed significantly between NSCLC patients with poor and good survival in both discovery and validation phases (P<0.05)	LC-MS/MS	Serum	case vs.control group	29173770
METAC_742	148	lung cancer	Non-Small Cell Lung Cancer	1324	NSCLC patients with poor survival		F&M	55	NSCLC patients with good survival		F&M	55	significant metabolites showing differential levels between non-small cell lung cancer (NSCLC) patients with poor and good survival in validation phase	We found levels of 4 metabolites, caffeine, paraxanthine, stachydrine, and methyl glucopyranoside (alpha + beta), differed significantly between NSCLC patients with poor and good survival in both discovery and validation phases (P<0.05)	LC-MS/MS	Serum	case vs.control group	29173770
METAC_743	64	lung cancer	adenocarcinoma, squamous cell carcinoma, otherwise specified NSCLC	1324	Cancer cases	60 (52-72)	F&M	31	controls	59 (52-73)	F&M	92	Compounds with differential abundance between early lung cancer and control samples	There were several metabolites detected in the sera whose abundances discriminated patients with lung cancer from controls. Majority of the differentiating components were downregulated in cancer samples, including amino acids, carboxylic acids and tocopherols, whereas benzaldehyde was the only compound significantly upregulated.	GC/MS	Serum	case vs.control group	28803255
METAC_744	65	lung cancer	Non-small-cell lung cancer	1324	Non-small-cell lung cancer	65 (53-86)	F&M	50	Control group	64 (50-78)	F&M	25	Compounds with differential abundance between early stage non-small-cell lung cancer and control	36 features were found significantly changed between NSCLC group and controls after FDR adjustment and 19 were identified using various metabolite databases (in-house library, HMDB, mzCloud).	LC-HRMS	Serum	case vs.control group	28168355
METAC_745	145	lung cancer	non-small cell lung cancer	1324	non-small cell lung cancer	68.3 ± 10	F&M	10	benign respiratory conditions	63.0 ± 13.3	F&M	10	Metabolites identified in exhaled breath condensate (EBC) samples between non-small cell lung cancer and patients with benign respiratory conditions	In the EBC samples, median concentrations of propionate, ethanol, acetate, and acetone were higher in lung cancer patients compared to the patients with benign conditions. Median concentration of methanol was lower in lung cancer patients (0.028 mM) than in patients with benign conditions (0.067 mM; P = 0.028).	¹H NMR	Breath sample	case vs.control group	27891048
METAC_746	145	lung cancer	non-small cell lung cancer	1324	non-small cell lung cancer 	68.3 ± 10	F&M	8	benign respiratory conditions	63.0 ± 13.3	F&M	10	Metabolites identified in sputum samples between non-small cell lung cancer and patients with benign respiratory conditions	In the combined sputum and saliva and the cytologically confirmed sputum samples, median concentrations of N-acetyl sugars, glycoprotein, propionate, lysine, acetate, and formate were lower in the lung cancer patients than in patients with benign conditions.	¹H NMR	Sputum	case vs.control group	27891048
METAC_747	52	colorectal cancer	stage I colorectal cancer	9256	stage I colorectal cancer	70.4	F&M	14	normal	67.7	F&M	60	Differential metabolites between stage I colorectal cancer patients and normal.	7 metabolites were upregulated and 29 were down-regulated compared to normal control samples	CE-TOF-MS	Serum	case vs.control group	27650200
METAC_748	52	colorectal cancer	stage II colorectal cancer	9256	stage II colorectal cancer	69.3	F&M	14	normal	67.7	F&M	60	Differential metabolites between stage II colorectal cancer patients and normal.	11 metabolites were up-regulated and 19 were down-regulated	CE-TOF-MS	Serum	case vs.control group	27650200
METAC_749	52	colorectal cancer	stage III colorectal cancer	9256	stage III colorectal cancer	71.2	F&M	14	normal	67.7	F&M	60	Differential metabolites between stage III colorectal cancer patients and normal.	5 metabolites were up-regulated and 39 were down-regulated	CE-TOF-MS	Serum	case vs.control group	27650200
METAC_750	52	colorectal cancer	stage IV colorectal cancer	9256	stage IV colorectal cancer	70.7	F&M	14	normal	67.7	F&M	60	Differential metabolites between stage IV colorectal cancer patients and normal.	6 metabolites were up-regulated and 28 were down-regulated compared to normal controls	CE-TOF-MS	Serum	case vs.control group	27650200
METAC_751	113	lung cancer	adenosquamous carcinoma, Adenocarcinomas, small cell carcinomas	1324	lung cancer	51.2 ± 10.6	F&M	25	healthy controls	49.5 ± 8.2	F&M	25	Concentrations of 23 serum free amino acids in lung cancer patients and healthy controls	We identified 25 metabolites that were differentially regulated between the lung cancer patients and matched controls. Of those, 16 were detected using the non-targeted approach and 9 were identified using the targeted approach. Both groups of metabolites could differentiate between lung cancer patients and healthy controls with 100% sensitivity and specificity.	RRLC	Serum	case vs.control group	27566571
METAC_753	52	colorectal cancer	stage I/II colorectal cancer	9256	stage I/II colorectal cancer (CRC) patients		F&M	68	healthy controls		F&M	32	Differential metabolites between the stage I/II colorectal cancer (CRC) patients and healthy controls.	The fecal metabolic profiles in CRC patients at an early stage were distinct from those of healthy controls.	¹H NMR	Stool	case vs.control group	27107423
METAC_754	158	pancreatic cancer	nan	1793	Pancreatic Cancer			14	benign disease/negative control			20	Differential metabolites between pancreatic cancer (PC) and BD/NC(benign disease/normal control).	Bile acids (especially taurocholic acid) performed to be potential biomarkers in PC diagnosis. Other amino acids (such as L-glutamine, glutamic acid, L-phenylalanine, L-tryptophan, and L-arginine) in serum samples from PC patients might provide a sensitive, blood-borne diagnostic signature for the presence of PC or its precursor lesions.	RPLC/HILIC	Serum	case vs.control group	32243985
METAC_755	158	pancreatic cancer	nan	1793	Pancreatic Cancer			14	benign disease			10	Differential metabolites between pancreatic cancer (PC) and BD(benign disease).	Bile acids (especially taurocholic acid) performed to be potential biomarkers in PC diagnosis. Other amino acids (such as L-glutamine, glutamic acid, L-phenylalanine, L-tryptophan, and L-arginine) in serum samples from PC patients might provide a sensitive, blood-borne diagnostic signature for the presence of PC or its precursor lesions.	RPLC/HILIC	Serum	case vs.control group	32243985
METAC_756	50	colorectal cancer	nan	9256	DP (disease progression)				CR (complete remission) + SD(stable disease)				Summary of metabolites with low p values (p < 0.05) using sequential metabolite ratios in comparing DP (disease progression) vs. CR (complete remission) + SD(stable disease).	19 metabolites from different compound classes, such as monosaccharides, amino acids, carboxylic acids, and nucleosides, showed a significant statistical difference	LC-MS/MS	Serum	case vs.control group	26342311
METAC_757	49	colorectal cancer	nan	9256	post-surgery colorectal cancer (CRC) patients		F&M	9	pre-surgery colorectal cancer (CRC) patients		F&M	79	Significantly altered metabolites distinguishing pre- from post-surgery colorectal cancer (CRC) patients	39 metabolites detected by GC-MS remained significant after adjustment for covariables and multiple testing (FDR <0.05), whereas only 2-aminobutyrate was found to be significant in our 1H-NMR analysis	GC-MS	Urine	case vs.control group	29250455
METAC_758	49	colorectal cancer	nan	9256	post-surgery colorectal cancer (CRC) patients		F&M	10	pre-surgery colorectal cancer (CRC) patients		F&M	88	Significantly altered metabolites distinguishing pre- from post-surgery colorectal cancer (CRC) patients	39 metabolites detected by GC-MS remained significant after adjustment for covariables and multiple testing (FDR <0.05), whereas only 2-aminobutyrate was found to be significant in our 1H-NMR analysis	¹H NMR	Urine	case vs.control group	29250455
METAC_759	113	lung cancer	nan	1324	lung cancer	66 ± 11	F&M	24	controls	56 ± 13	F&M	31	Altered metabolites in lung cancer (LC) bronchoalveolar lavage fluid (BALF) samples detected with DI-ESI-QTOF-MS	two complementary metabolomics tech?niques based on direct infusion high resolution mass spectrometry (DI-ESI-QTOF-MS) and gas chromatography mass spectrometry (GC–MS) have been applied to compare statistically differences between lung cancer (LC) and control (C) BALF samples, using partial least square discriminant analysis (PLS-DA) in order to find and iden?tify potential biomarkers of the disease. A total of 42 altered metabolites were found in BALF from LC.	DI-ESI-QTOF-MS	Bronchoalveolar lavage fluid	case vs.control group	27255828
METAC_760	113	lung cancer	nan	1324	lung cancer	66 ± 11	F&M	24	controls	56 ± 13	F&M	31	Altered metabolites in lung cancer (LC) bronchoalveolar lavage fluid (BALF) samples detected with GC-MS	two complementary metabolomics tech?niques based on direct infusion high resolution mass spectrometry (DI-ESI-QTOF-MS) and gas chromatography mass spectrometry (GC–MS) have been applied to compare statistically differences between lung cancer (LC) and control (C) BALF samples, using partial least square discriminant analysis (PLS-DA) in order to find and iden?tify potential biomarkers of the disease. A total of 42 altered metabolites were found in BALF from LC.	GC-MS	Bronchoalveolar lavage fluid	case vs.control group	27255828
METAC_761	47	colorectal cancer	nan	9256	subcutaneous adipose tissue (VST)	62.9 ± 13.7	F&M	59	visceral adipose tissue (VAT)	62.9 ± 13.7	F&M	59	The most significantly different metabolites between subcutaneous adipose tissue (SAT) and subcutaneous visceral adipose tissue (VAT).	The most significantly different metabolites between SAT and VAT based on a PLS VIP value (component 1) >1.5 and an FDR <0.051.	GC-TOF-MS	Serum	case vs.control group	26156741
METAC_762	48	colorectal cancer	nan	9256	post-BRB (black raspberries) urine			28	pre-BRB (black raspberries) urine			28	List of metabolites significantly changed in post-BRB (black raspberries) urine.	34 urinary metabolites were significantly changed by BRBs, including 31 increased metabolites and 3 decreased metabolites.	GC/MS	Urine	case vs.control group	26054356
METAC_763	48	colorectal cancer	nan	9256	post-BRB (black raspberries) plasma			28	pre-BRB (black raspberries) plasma			28	List of metabolites significantly changed in post-BRB (black raspberries (BRBs) ) plasma.	BRBs significantly increased 6 plasma metabolites.	GC/MS	Serum	case vs.control group	26054356
METAC_764	46	colorectal cancer	nan	9256	colorectal cancer (CRC) patients			33	controls				Differentiating metabolites between colorectal cancer (CRC) patient and controls.	15 main metabolites were identified	¹H NMR	Serum	case vs.control group	25202454
METAC_765	145	lung cancer	non-small cell lung cancer	1324	non-small cell lung cancer 		F&M	182	healthy individuals		F&M	87	Mean intensities and variations of the most significant metabolites found in the comparison between healthy individuals and non-small cell lung cancer (NSCLC) patients	We found that the metabolic profile of NSCLC patients, compared with healthy individuals, is characterized by statistically significant changes in the concentration of 18 metabolites representing different amino acids, organic acids and alcohols, as well as different lipids and molecules involved in lipid metabolism.	¹H NMR	Serum	case vs.control group	26883203
METAC_766	8	lung cancer	non-small cell lung cancer	1324	advanced-stage NSCLC patients		F&M	90	early-stage NSCLC patients		F&M	92	Mean intensities and variations of the most significant metabolites found in the comparison between early-stage and advanced-stage non-small cell lung cancer (NSCLC) patients	The analysis of the differences between the metabolic profiles of NSCLC patients at different stages of the disease revealed the existence of 17 metabolites involved in metabolic changes associated with disease progression.	¹H NMR	Serum	case vs.control group	26883203
METAC_767	145	lung cancer	non-small cell lung cancer	1324	non-small cell lung cancer 		F&M	182	benign pulmonary diseases(BPD) patients		F&M	27	Variations of the mean intensities of the most relevant metabolites involved in the discrimination between benign pulmonary diseases(BPD) patients and non-small cell lung cancer (NSCLC) patients	nan	¹H NMR	Serum	case vs.control group	26883203
METAC_768	113	lung cancer	squamous cell carcinoma, adenocarcinoma , small cell carcinoma, large cell carcinoma, non-small cell lung cancer	1324	lung cancer patients	63 ± 7 	F&M	48	healthy controls	60 ± 9 	F&M	61	Differentiating metabolites between lung cancer patients and healthy controls	Tentative compounds that contribute to discrimination between the three groups were identified, and a relevant role for lipids such as monoacylglycerols and squalene was found. These results could support the ability of metabolomics to go inside the study of lung cancer.	GC-TOF/MS	Breath sample	case vs.control group	26866403
METAC_769	113	lung cancer	squamous cell carcinoma, adenocarcinoma , small cell carcinoma, large cell carcinoma, non-small cell lung cancer	1324	lung cancer patients	63 ± 7 	F&M	48	risk factor group	61 ± 8	F&M	130	Differentiating metabolites between lung cancer patients and risk factor group (130 individuals, all of them active smokers or ex-smokers)	Tentative compounds that contribute to discrimination between the three groups were identified, and a relevant role for lipids such as monoacylglycerols and squalene was found. These results could support the ability of metabolomics to go inside the study of lung cancer.	GC-TOF/MS	Breath sample	case vs.control group	26866403
METAC_770	113	lung cancer	nan	1324	Preoperative lung cancer group (PRLC)	61.58 ± 10.67	F&M	30	Control group	60.35 ± 12.48	F&M	30	LC-Q-TOF/MS identification of potential biomarker between Preoperative lung cancer group (PRLC) and Control group	nan	LC-QTOF-MS	Serum	case vs.control group	25961003
METAC_771	114	lung cancer	nan	1324	Postoperative lung cancer group (POLC)	61.58 ± 10.67	F&M	30	Control group	60.35 ± 12.48	F&M	30	LC-Q-TOF/MS identification of potential biomarker between Postoperative lung cancer group (POLC) and Control group	nan	LC-QTOF-MS	Serum	case vs.control group	25961003
METAC_772	114	lung cancer	nan	1324	Preoperative lung cancer group (PRLC)	61.58 ± 10.67	F&M	30	Postoperative lung cancer group (POLC)	61.58 ± 10.67	F&M	30	LC-Q-TOF/MS identification of potential biomarker between Preoperative lung cancer group (PRLC) and Postoperative lung cancer group (POLC)	nan	LC-QTOF-MS	Serum	case vs.control group	25961003
METAC_773	113	lung cancer	nan	1324	Preoperative lung cancer group (PRLC)	61.58 ± 10.67	F&M	30	Control group	60.35 ± 12.48	F&M	30	GC/MS identification of potential biomarker between Preoperative lung cancer group (PRLC) and Control group	nan	GC/MS	Serum	case vs.control group	25961003
METAC_774	114	lung cancer	nan	1324	Postoperative lung cancer group (POLC)	61.58 ± 10.67	F&M	30	Control group	60.35 ± 12.48	F&M	30	GC/MS identification of potential biomarker between Postoperative lung cancer group (POLC) and Control group	nan	GC/MS	Serum	case vs.control group	25961003
METAC_775	114	lung cancer	nan	1324	Preoperative lung cancer group (PRLC)	61.58 ± 10.67	F&M	30	Postoperative lung cancer group (POLC)	61.58 ± 10.67	F&M	30	GC/MS identification of potential biomarker between Preoperative lung cancer group (PRLC) and Postoperative lung cancer group (POLC)	nan	GC/MS	Serum	case vs.control group	25961003
METAC_776	113	lung cancer	nan	1324	lung cancer	63 (42-87)	F&M	41	control individuals		F&M	55	metabolites in sweat to discriminate between lung cancer patients and control individuals	nan	LC-QTOF MS/MS	Sweat	case vs.control group	25935675
METAC_777	113	lung cancer	NSCLC, adenocarcinoma	1324	Lung cancer		F&M	18	Control		F&M	20	Mean and fold change between cancer and control subjects in Study 1(FHCRC, 18 cancer patients and 20 controls)	Differential analysis identified 15 known metabolites in one study and 18 in a second study that were statistically different (p-values <0.05). Levels of maltose, palmitic acid, glycerol, ethanolamine, glutamic acid, and lactic acid were increased in cancer samples while amino acids tryptophan, lysine and histidine decreased.	GC-TOF-MS	Blood	case vs.control group	25859693
METAC_778	113	lung cancer	NSCLC, SCLC, Mesothelioma	1324	Lung cancer		F&M	11	Control		F&M	11	Mean and fold change between cancer and control subjects in Study 2 (UC Davis ,contained 11 subjects in each group)	Differential analysis identified 15 known metabolites in one study and 18 in a second study that were statistically different (p-values <0.05). Levels of maltose, palmitic acid, glycerol, ethanolamine, glutamic acid, and lactic acid were increased in cancer samples while amino acids tryptophan, lysine and histidine decreased.	GC-TOF-MS	Blood	case vs.control group	25859693
METAC_779	113	lung cancer	Squamous cell carcinoma, Adenocarcinoma, Small cell carcinoma, Non Small cell carcinoma	1324	lung cancer (LC)		F&M	100	healthy non-smokers (NS)		F&M	96	Metabolites between lung cancer (LC) and healthy non-smokers (NS)	nan	GC-MS	Plasma	case vs.control group	25712604
METAC_780	113	lung cancer	adenocarcinoma, squamous cell carcinoma, sarcomatoid carcinomas, large cell carcinomas, adenosquamous carcinomas, carcinoid tumours, small cell carcinomas	1324	lung cancer	62 ± 10	F&M	56	control tissues	62 ± 10	F&M	56	Metabolites showing statistically significant differences between lung tumours and control tissues	Notably, the magnitude of those differences were clearly distinct for AdC and SqCC: major alterations in AdC were related to phospholipid metabolism (increased phosphocholine, glycerophosphocholine and phosphoethanolamine, together with decreased acetate) and protein catabolism (increased peptide moieties), whereas SqCC had stronger glycolytic and glutaminolytic profiles (negatively correlated variations in glucose and lactate and positively correlated increases in glutamate and alanine). Other tumour metabolic features were increased creatine, glutathione, taurine and uridine nucleotides, the first two being especially prominent in SqCC and the latter in AdC.	NMR	Lung tissue	case vs.control group	25368033
METAC_781	2	lung cancer	Adenocarcinoma	1324	Adenocarcinoma 		F&M	19	control tissues		F&M	19	Metabolites showing statistically significant differences between Adenocarcinoma and control tissues	Notably, the magnitude of those differences were clearly distinct for AdC and SqCC: major alterations in AdC were related to phospholipid metabolism (increased phosphocholine, glycerophosphocholine and phosphoethanolamine, together with decreased acetate) and protein catabolism (increased peptide moieties), whereas SqCC had stronger glycolytic and glutaminolytic profiles (negatively correlated variations in glucose and lactate and positively correlated increases in glutamate and alanine). Other tumour metabolic features were increased creatine, glutathione, taurine and uridine nucleotides, the first two being especially prominent in SqCC and the latter in AdC.	NMR	Lung tissue	case vs.control group	25368033
METAC_782	121	lung cancer	Squamous cell lung tumours	1324	Squamous cell lung tumours		F&M	19	control tissues		F&M	19	Metabolites showing statistically significant differences between Squamous cell lung tumours and control tissues	Notably, the magnitude of those differences were clearly distinct for AdC and SqCC: major alterations in AdC were related to phospholipid metabolism (increased phosphocholine, glycerophosphocholine and phosphoethanolamine, together with decreased acetate) and protein catabolism (increased peptide moieties), whereas SqCC had stronger glycolytic and glutaminolytic profiles (negatively correlated variations in glucose and lactate and positively correlated increases in glutamate and alanine). Other tumour metabolic features were increased creatine, glutathione, taurine and uridine nucleotides, the first two being especially prominent in SqCC and the latter in AdC.	NMR	Lung tissue	case vs.control group	25368033
METAC_783	2	lung cancer	Adenocarcinoma , Squamous cell lung tumours	1324	Adenocarcinoma 		F&M	19	Squamous cell lung tumours		F&M	19	Metabolites showing statistically significant differences between Adenocarcinoma and Squamous cell lung cancer	Notably, the magnitude of those differences were clearly distinct for AdC and SqCC: major alterations in AdC were related to phospholipid metabolism (increased phosphocholine, glycerophosphocholine and phosphoethanolamine, together with decreased acetate) and protein catabolism (increased peptide moieties), whereas SqCC had stronger glycolytic and glutaminolytic profiles (negatively correlated variations in glucose and lactate and positively correlated increases in glutamate and alanine). Other tumour metabolic features were increased creatine, glutathione, taurine and uridine nucleotides, the first two being especially prominent in SqCC and the latter in AdC.	NMR	Lung tissue	case vs.control group	25368033
METAC_784	113	lung cancer	nan	1324	preoperative lung cancer	61.58 ± 10.67	F&M	30	control groups	60.35 ± 12.48	F&M	30	Potential biomarkers found by LC/MS analysis of preoperative lung cancer and control groups	Based on pattern recognition results and univariate analysis, we showed that levels of ten potential biomarkers in serum were significantly different in the preoperative lung cancer patients compared with healthy volunteers and/or the postoperative lung cancer patients. The levels of sphingosine, phosphorylcholine, glycerophospho-N-arachidonoyl ethanolamine, γ-linolenic acid, 9,12-octadecadienoic acid, oleic acid, and serine were significantly different in preoperative lung cancer patients compared to healthy volunteers and to postoperative lung cancer patients. For prasterone sulfate, α-hydroxyisobutyric acid, 2,3,4-trihydroxybutyric acid, the levels were statistically different in preoperative and postoperative lung cancer patients compared with the healthy volunteers.	LC/MS	Serum	case vs.control group	25293627
METAC_785	114	lung cancer	nan	1324	postoperative lung cancer	61.58 ± 10.67	F&M	30	preoperative lung cancer	61.58 ± 10.67	F&M	30	Potential biomarkers found by LC/MS analysis of preoperative lung cancer and postoperative lung cancer samples	Based on pattern recognition results and univariate analysis, we showed that levels of ten potential biomarkers in serum were significantly different in the preoperative lung cancer patients compared with healthy volunteers and/or the postoperative lung cancer patients. The levels of sphingosine, phosphorylcholine, glycerophospho-N-arachidonoyl ethanolamine, γ-linolenic acid, 9,12-octadecadienoic acid, oleic acid, and serine were significantly different in preoperative lung cancer patients compared to healthy volunteers and to postoperative lung cancer patients. For prasterone sulfate, α-hydroxyisobutyric acid, 2,3,4-trihydroxybutyric acid, the levels were statistically different in preoperative and postoperative lung cancer patients compared with the healthy volunteers.	LC/MS	Serum	case vs.control group	25293627
METAC_786	114	lung cancer	nan	1324	postoperative lung cancer	61.58 ± 10.67	F&M	30	control groups	60.35 ± 12.48	F&M	30	Potential biomarkers found by LC/MS analysis of postoperative lung cancer and control groups	Based on pattern recognition results and univariate analysis, we showed that levels of ten potential biomarkers in serum were significantly different in the preoperative lung cancer patients compared with healthy volunteers and/or the postoperative lung cancer patients. The levels of sphingosine, phosphorylcholine, glycerophospho-N-arachidonoyl ethanolamine, γ-linolenic acid, 9,12-octadecadienoic acid, oleic acid, and serine were significantly different in preoperative lung cancer patients compared to healthy volunteers and to postoperative lung cancer patients. For prasterone sulfate, α-hydroxyisobutyric acid, 2,3,4-trihydroxybutyric acid, the levels were statistically different in preoperative and postoperative lung cancer patients compared with the healthy volunteers.	LC/MS	Serum	case vs.control group	25293627
